ensg	credDC	credDC.maxCADD	credDC.maxPIP	credDC.minP	credDC.loci	cred_eQTL	cred_eQTL.ts	cred_eQTL.maxPIP	cred_eQTL.minP	cred_eQTL.loci	gwsDC	gwsDC.maxCADD	gwsDC.minP	gwsDC.loci	gws_eQTL	gws_eQTL.ts	gws_eQTL.minP	gws_eQTL.loci
ENSG00000136448	NA	NA	NA	NA	NA	2	eQTLGen_cis_eQTLs:GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Coronary:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Brain_Spinal_cord_cervical_c-1:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Colon_Sigmoid:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Liver:GTEx/v8/Lung:GTEx/v8/Minor_Salivary_Gland:GTEx/v8/Muscle_Skeletal:GTEx/v8/Nerve_Tibial:GTEx/v8/Ovary:GTEx/v8/Pancreas:GTEx/v8/Pituitary:GTEx/v8/Prostate:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Small_Intestine_Terminal_Ileum:GTEx/v8/Spleen:GTEx/v8/Stomach:GTEx/v8/Thyroid:GTEx/v8/Uterus	0.115248	7.572e-18	501	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000172992	NA	NA	NA	NA	NA	2	eQTLGen_cis_eQTLs	0.115248	7.572e-18	501	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000173917	NA	NA	NA	NA	NA	4	eQTLGen_cis_eQTLs	0.310124	3.686e-11	502	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000182742	NA	NA	NA	NA	NA	4	eQTLGen_cis_eQTLs	0.310124	3.686e-11	502	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000170921	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs:GTEx/v8/Spleen	0.409012	5.102e-16	504	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000176624	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Thyroid	0.122344	4.222e-08	513	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000166562	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs:GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Coronary:GTEx/v8/Artery_Tibial:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Colon_Sigmoid:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Liver:GTEx/v8/Nerve_Tibial:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg	0.334593	4.517e-09	517	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000178342	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs:GTEx/v8/Spleen:GTEx/v8/Whole_Blood	0.394193	6.031e-10	519	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000095066	NA	NA	NA	NA	NA	2	eQTLGen_cis_eQTLs:GTEx/v8/Artery_Tibial:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Nerve_Tibial	0.268682	4.181e-08	521	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000104889	NA	NA	NA	NA	NA	2	eQTLGen_cis_eQTLs	0.268682	4.181e-08	521	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000105612	NA	NA	NA	NA	NA	2	eQTLGen_cis_eQTLs:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum	0.268682	4.181e-08	521	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000161860	NA	NA	NA	NA	NA	2	eQTLGen_cis_eQTLs:GTEx/v8/Artery_Tibial:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Colon_Transverse:GTEx/v8/Liver:GTEx/v8/Lung:GTEx/v8/Nerve_Tibial:GTEx/v8/Pancreas:GTEx/v8/Spleen:GTEx/v8/Stomach:GTEx/v8/Thyroid	0.268682	4.181e-08	521	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000167815	NA	NA	NA	NA	NA	2	eQTLGen_cis_eQTLs:GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Tibial:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Cells_EBV-transformed_lymphocytes:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Nerve_Tibial:GTEx/v8/Thyroid	0.268682	4.181e-08	521	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000179115	NA	NA	NA	NA	NA	2	eQTLGen_cis_eQTLs:GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Cerebellum:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Lung:GTEx/v8/Muscle_Skeletal:GTEx/v8/Pancreas:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Stomach:GTEx/v8/Whole_Blood	0.268682	4.181e-08	521	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000100034	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs:GTEx/v8/Thyroid:GTEx/v8/Whole_Blood	0.18694	2.549e-07	547	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000100038	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs	0.18694	2.549e-07	547	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000084636	NA	NA	NA	NA	NA	1	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Heart_Atrial_Appendage	0.323869	2.364e-11	5	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000162613	NA	NA	NA	NA	NA	1	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Tibial:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Lung:GTEx/v8/Muscle_Skeletal:GTEx/v8/Nerve_Tibial:GTEx/v8/Pancreas:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Thyroid	0.997725	1.929e-13	20	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000119787	NA	NA	NA	NA	NA	3	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Hypothalamus:GTEx/v8/Nerve_Tibial:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Testis	0.223618	1.886e-08	47	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000001617	NA	NA	NA	NA	NA	9	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Lung	1	1.035e-19	106	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000129595	NA	NA	NA	NA	NA	2	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Artery_Aorta:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Nerve_Tibial	0.200701	2.846e-08	184	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000015520	NA	NA	NA	NA	NA	2	GTEx/v8/Adipose_Subcutaneous	1	1.167e-06	244	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000165209	NA	NA	NA	NA	NA	1	GTEx/v8/Adipose_Subcutaneous	1	9.957e-10	323	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000111652	NA	NA	NA	NA	NA	1	GTEx/v8/Adipose_Subcutaneous	0.992723	8.253e-17	386	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000111328	NA	NA	NA	NA	NA	10	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Tibial:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Colon_Sigmoid:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Liver:GTEx/v8/Lung:GTEx/v8/Nerve_Tibial:GTEx/v8/Pancreas:GTEx/v8/Prostate:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Small_Intestine_Terminal_Ileum:GTEx/v8/Spleen:GTEx/v8/Stomach:GTEx/v8/Thyroid	1	2.163e-22	408	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000179889	NA	NA	NA	NA	NA	1	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Coronary:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hypothalamus:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Brain_Spinal_cord_cervical_c-1:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Left_Ventricle	0.155105	3.748e-08	475	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000108511	NA	NA	NA	NA	NA	2	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Artery_Tibial	0.213819	9.563e-10	502	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000179218	NA	NA	NA	NA	NA	2	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Colon_Sigmoid:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Lung:GTEx/v8/Muscle_Skeletal:GTEx/v8/Nerve_Tibial:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Thyroid	0.268682	4.181e-08	521	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000149531	NA	NA	NA	NA	NA	2	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Coronary:GTEx/v8/Artery_Tibial:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Colon_Sigmoid:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Lung:GTEx/v8/Minor_Salivary_Gland:GTEx/v8/Muscle_Skeletal:GTEx/v8/Nerve_Tibial:GTEx/v8/Ovary:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Stomach:GTEx/v8/Uterus:GTEx/v8/Vagina	0.58796	1.332e-07	533	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000164078	NA	NA	NA	NA	NA	6	GTEx/v8/Adipose_Visceral_Omentum	1	1.035e-19	106	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000078295	NA	NA	NA	NA	NA	2	GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Thyroid	0.134286	5.844e-10	165	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000131711	NA	NA	NA	NA	NA	4	GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Brain_Spinal_cord_cervical_c-1:GTEx/v8/Colon_Sigmoid:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Minor_Salivary_Gland:GTEx/v8/Ovary:GTEx/v8/Pancreas:GTEx/v8/Pituitary:GTEx/v8/Prostate:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Stomach:GTEx/v8/Uterus	0.404547	1.108e-09	172	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000113269	NA	NA	NA	NA	NA	3	GTEx/v8/Adipose_Visceral_Omentum	0.16774	2.599e-09	201	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000102572	NA	NA	NA	NA	NA	1	GTEx/v8/Adipose_Visceral_Omentum	0.972336	0.0002603	427	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000126214	NA	NA	NA	NA	NA	9	GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Lung:GTEx/v8/Ovary:GTEx/v8/Spleen:GTEx/v8/Testis	1	6.854e-15	449	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000169683	NA	NA	NA	NA	NA	1	GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Artery_Aorta:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Colon_Sigmoid:GTEx/v8/Colon_Transverse:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Prostate:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Spleen:GTEx/v8/Thyroid	0.885511	1.155e-13	508	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000101017	NA	NA	NA	NA	NA	2	GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Adrenal_Gland:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Colon_Sigmoid:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Lung:GTEx/v8/Muscle_Skeletal:GTEx/v8/Nerve_Tibial:GTEx/v8/Ovary:GTEx/v8/Pancreas:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Stomach:GTEx/v8/Testis:GTEx/v8/Thyroid	0.125729	7.997e-10	537	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000221890	NA	NA	NA	NA	NA	2	GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Liver:GTEx/v8/Nerve_Tibial:GTEx/v8/Pituitary	0.704897	1.225e-11	549	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000136682	NA	NA	NA	NA	NA	3	GTEx/v8/Adrenal_Gland:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Thyroid	0.420014	1.615e-34	65	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000184492	NA	NA	NA	NA	NA	3	GTEx/v8/Adrenal_Gland:GTEx/v8/Thyroid	0.420014	1.615e-34	65	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000128573	NA	NA	NA	NA	NA	3	GTEx/v8/Adrenal_Gland	0.356441	1.387e-23	260	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000172733	NA	NA	NA	NA	NA	1	GTEx/v8/Adrenal_Gland	0.327306	1.646e-15	276	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000165661	NA	NA	NA	NA	NA	5	GTEx/v8/Adrenal_Gland:GTEx/v8/Artery_Aorta:GTEx/v8/Brain_Spinal_cord_cervical_c-1:GTEx/v8/Cells_Cultured_fibroblasts	0.383074	4.951e-15	330	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000140521	NA	NA	NA	NA	NA	6	GTEx/v8/Adrenal_Gland:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Stomach	0.999724	8.079e-08	463	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000130208	NA	NA	NA	NA	NA	5	GTEx/v8/Adrenal_Gland	0.818216	2.133e-12	527	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000100036	NA	NA	NA	NA	NA	1	GTEx/v8/Adrenal_Gland:GTEx/v8/Cells_Cultured_fibroblasts	0.161298	6.968e-09	548	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000184792	NA	NA	NA	NA	NA	1	GTEx/v8/Adrenal_Gland:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Spleen	0.161298	6.968e-09	548	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000162367	NA	NA	NA	NA	NA	4	GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Cortex:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Lung:GTEx/v8/Muscle_Skeletal:GTEx/v8/Pancreas:GTEx/v8/Skin_Sun_Exposed_Lower_leg	0.127812	2.093e-08	11	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000109332	NA	NA	NA	NA	NA	3	GTEx/v8/Artery_Aorta	0.663785	6.802e-24	154	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000079841	NA	NA	NA	NA	NA	1	GTEx/v8/Artery_Aorta	0.121788	2.942e-08	219	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000105866	NA	NA	NA	NA	NA	1	GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Tibial:GTEx/v8/Lung	0.851138	7.197e-11	240	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000155100	NA	NA	NA	NA	NA	1	GTEx/v8/Artery_Aorta:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Nerve_Tibial	0.368357	2.363e-16	292	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000183741	NA	NA	NA	NA	NA	2	GTEx/v8/Artery_Aorta	0.704897	1.225e-11	549	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000115073	NA	NA	NA	NA	NA	2	GTEx/v8/Artery_Coronary	0.174927	2.809e-12	62	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000170955	NA	NA	NA	NA	NA	2	GTEx/v8/Artery_Coronary:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Small_Intestine_Terminal_Ileum	0.434512	9.517e-10	360	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000197312	NA	NA	NA	NA	NA	2	GTEx/v8/Artery_Tibial:GTEx/v8/Nerve_Tibial	0.452232	6.318e-08	3	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000151090	NA	NA	NA	NA	NA	3	GTEx/v8/Artery_Tibial	0.245152	2.024e-10	103	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000163378	NA	NA	NA	NA	NA	1	GTEx/v8/Artery_Tibial:GTEx/v8/Muscle_Skeletal	0.176545	1.246e-09	108	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000112137	NA	NA	NA	NA	NA	1	GTEx/v8/Artery_Tibial	0.135364	1.896e-08	203	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000140564	NA	NA	NA	NA	NA	1	GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Cells_Cultured_fibroblasts	0.999005	2.897e-31	464	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000169750	NA	NA	NA	NA	NA	1	GTEx/v8/Artery_Tibial:GTEx/v8/Nerve_Tibial	0.885511	1.155e-13	508	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000143194	NA	NA	NA	NA	NA	1	GTEx/v8/Brain_Amygdala:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Hypothalamus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Brain_Spinal_cord_cervical_c-1:GTEx/v8/Brain_Substantia_nigra:GTEx/v8/Liver:GTEx/v8/Minor_Salivary_Gland:GTEx/v8/Pituitary	0.103069	1.066e-10	31	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000153495	NA	NA	NA	NA	NA	2	GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia	0.778313	5.404e-11	431	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000163291	NA	NA	NA	NA	NA	1	GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Pituitary	0.108839	2.478e-11	147	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000133863	NA	NA	NA	NA	NA	1	GTEx/v8/Brain_Caudate_basal_ganglia	0.327306	1.646e-15	276	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000166478	NA	NA	NA	NA	NA	1	GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Brain_Substantia_nigra:GTEx/v8/Stomach	0.104507	3.153e-10	361	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000141522	NA	NA	NA	NA	NA	1	GTEx/v8/Brain_Caudate_basal_ganglia	0.885511	1.155e-13	508	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000125851	NA	NA	NA	NA	NA	4	GTEx/v8/Brain_Caudate_basal_ganglia	0.31734	1.72e-09	531	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000110148	NA	NA	NA	NA	NA	2	GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum	0.434512	9.517e-10	360	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000174165	NA	NA	NA	NA	NA	1	GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Nerve_Tibial	0.400062	2.106e-16	372	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000186642	NA	NA	NA	NA	NA	5	GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum	0.36931	9.854e-18	373	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000132953	NA	NA	NA	NA	NA	1	GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Nerve_Tibial:GTEx/v8/Thyroid	0.251706	9.594e-13	410	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000103042	NA	NA	NA	NA	NA	2	GTEx/v8/Brain_Cerebellar_Hemisphere	0.559692	1.439e-08	485	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000132026	NA	NA	NA	NA	NA	2	GTEx/v8/Brain_Cerebellar_Hemisphere	0.268682	4.181e-08	521	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000188505	NA	NA	NA	NA	NA	4	GTEx/v8/Brain_Cerebellar_Hemisphere	0.195597	2.099e-08	526	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000129675	NA	NA	NA	NA	NA	2	GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Colon_Sigmoid:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Lung:GTEx/v8/Nerve_Tibial:GTEx/v8/Ovary:GTEx/v8/Pancreas:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Spleen:GTEx/v8/Stomach:GTEx/v8/Thyroid:GTEx/v8/Whole_Blood	0.428378	2.884e-10	558	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000186790	NA	NA	NA	NA	NA	4	GTEx/v8/Brain_Cerebellum	0.127812	2.093e-08	11	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000143641	NA	NA	NA	NA	NA	3	GTEx/v8/Brain_Cerebellum	0.33015	2.216e-10	41	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000186487	NA	NA	NA	NA	NA	1	GTEx/v8/Brain_Cerebellum	0.598684	5.371e-10	43	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000104687	NA	NA	NA	NA	NA	1	GTEx/v8/Brain_Cerebellum	0.327306	1.646e-15	276	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000171798	NA	NA	NA	NA	NA	1	GTEx/v8/Brain_Cerebellum	0.202474	5.265e-09	359	NA	NA	NA	NA	NA	NA	NA	NA
